country_name,iso_code,total_alcohol_consumption,GDP_per_capita
Thailand,THA,8.3,18095.73657
Timor,TLS,2.17,3051.668117
Togo,TGO,2.46,2061.334176
Tonga,TON,0.8,6411.289368
Trinidad and Tobago,TTO,6.72,26250.37224
Tunisia,TUN,2.12,10763.72978
Turkey,TUR,2.05,28312.68342
Turkmenistan,TKM,4.93,14845.34465
Tuvalu,TUV,1.52,3945.563673
Uganda,UGA,15.09,2121.96782
Ukraine,UKR,8.32,12338.00245
United Arab Emirates,ARE,3.9,66968.22118
United Kingdom,GBR,11.45,46037.90054
United States,USA,9.87,61585.75604
Uruguay,URY,6.92,23035.08339
Uzbekistan,UZB,2.59,6755.480974
Vanuatu,VUT,2.25,3093.461547
Vietnam,VNM,8.66,7585.943155
Zambia,ZMB,6.54,3521.542063
Zimbabwe,ZWE,4.67,3341.665418
